part name,symbol,size (imp),max current,unit price,units per build,units in stock,order total,Manufacturer ID,source url,datasheet,datasheet2,,,
80 pin header,PORT_IN1,,,$1.35,1,1,$1.35,DF40C-80DP-0.4V(51),http://www.digikey.com/product-detail/en/DF40C-80DP-0.4V(51)/H11632CT-ND/1969511,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,Total Base Cost,$12.20
80 pin receptacle (2.0mm),PORT_OUT1,,,$1.90,1,2,$1.90,DF40C(2.0)-80DS-0.4V(51),http://www.digikey.com/product-detail/en/DF40C(2.0)-80DS-0.4V(51)/H11773CT-ND/2178736,N,http://www.hirose.co.jp/cataloge_hp/ed_DF40_20140305.pdf,,,
AND/OR gate,PORT_ANDOR1,,,$0.25,1,2,$0.25,SN74LVC1G0832DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G0832DCKR/296-18754-1-ND/863884,,http://www.ti.com/lit/ds/symlink/sn74lvc1g0832.pdf,,,
multifunction gate,"PORT_XOR1, PORT_INV1",,,$0.14,2,6,$0.28,SN74LVC1G58DCKR,http://www.digikey.com/product-detail/en/SN74LVC1G58DCKR/296-15577-1-ND/571153,,http://www.ti.com/lit/ds/symlink/sn74lvc1g58.pdf,,,
64kbit eeprom,PORT_IC1,,,$0.61,1,2,$0.61,AT24CS64-MAHM-T,http://www.digikey.com/product-detail/en/AT24CS64-MAHM-T/AT24CS64-MAHM-TCT-ND/4292118,N,http://www.atmel.com/images/atmel-8870-seeprom-at24cs64-datasheet.pdf,,,
R 10k,PORT_R1,,,$0.01,1,979,$0.01,RC0603FR-0710KL,http://www.digikey.com/product-detail/en/RC0603FR-0710KL/311-10.0KHRCT-ND/729827,MF-RES-0603-10K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
C 0.1uF,PORT_C1,,,$0.02,1,400,$0.02,C0603C104K4RACTU,http://www.digikey.com/product-detail/en/C0603C104K4RACTU/399-1096-1-ND/411371,MF-CAP-0603-0.1uF,http://www.kemet.com/docfinder?Partnumber=C0603C104K4RACTU,,,
green led,D1,,,$0.19,1,83,$0.19,LTST-C190KGKT,http://www.digikey.com/product-detail/en/LTST-C190KGKT/160-1435-1-ND/386814,Y,http://optoelectronics.liteon.com/upload/download/DS22-2000-074/S_110_LTST-C190KGKT.pdf,,,
yellow led,D2,,,$0.20,1,87,$0.20,LTST-C190KSKT,http://www.digikey.com/product-detail/en/LTST-C190KSKT/160-1437-1-ND/386818,N,http://optoelectronics.liteon.com/upload/download/DS-22-99-0189/S_110_LTST-C190KSKT.pdf,,,
red led,D3,,,$0.19,1,71,$0.19,LTST-C190KRKT,http://www.digikey.com/product-detail/en/LTST-C190KRKT/160-1436-1-ND/386816,MF-LED-0603-RED,http://optoelectronics.liteon.com/upload/download/DS-22-99-0151/S_110_LTST-C190KRKT.pdf,,,
R 1k,"R1, R2, R3",,,$0.01,3,993,$0.03,RC0603FR-071KL,http://www.digikey.com/product-detail/en/RC0603FR-071KL/311-1.00KHRCT-ND/729790,MF-RES-0603-1K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
R 10k,"R4, R5, R6, R9, R10",,,$0.01,5,979,$0.05,RC0603FR-0710KL,http://www.digikey.com/product-detail/en/RC0603FR-0710KL/311-10.0KHRCT-ND/729827,MF-RES-0603-10K,http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_3.pdf,,,
R 0,"R7, R8",,,$0.00,2,92,$0.01,RC0603JR-070RL,http://www.digikey.com/product-search/en?keywords=311-0.0grct-nd,,,,,
Debug board,PCB,,,$6.70,1,2,$6.70,CKD-DBG-V2,,N,,,,
~2mm Spacer,Offboard,,,$0.08,5,100,$0.42,908-080,http://www.mouser.com/ProductDetail/Bivar/908-080/?qs=sGAEpiMZZMtU66%252bVMtdfbpPy1E%252bha670,N,http://www.bivar.com/Portals/0/Products/d.ashx?f=/Portals/0/products/9XX-XXX.pdf,,,
